clu_identi,PPB,CDF
feba5778-7376-4e2e-b71a-1c2212549392,0.215753701,0.00308642
D7C1A5C6-C67B-43AB-8561-286D8A458797,0.31547611,0.00617284
AF5B0469-645C-470E-A1FC-C6D64AA85A70,0.363717773,0.009259259
39363505-2cb3-439c-af8c-f82aff90b3e9,0.366463862,0.012345679
01af5440-9d17-4390-ba72-f52550940bc8,0.369437269,0.015432099
6BAB2F2C-21F0-41D9-8376-96993F37E494,0.371177553,0.018518519
D6022589-6797-43B8-A26D-6423F85BA3E3,0.384625603,0.021604938
b6b70913-23d5-4efd-9327-1d20293ec5e5,0.388199337,0.024691358
057ED524-CC1C-4E5B-9736-07AA652E0C34,0.395539691,0.027777778
99d7ac4f-fd9b-484e-aa4b-a157161c03ca,0.397060301,0.030864198
2BB07318-AAB8-4CD4-9C9F-778C5FEED806,0.397851811,0.033950617
10374B38-2039-4995-AFD6-71DEC90F4236,0.400620906,0.037037037
888b6cb2-98e9-4a0d-bfd3-cb6fa691303d,0.405383634,0.040123457
ED0F964D-8EE4-4F42-A125-BE5F0835B9AF,0.406315373,0.043209877
5915fc81-3a44-4ff2-955e-59debfa4bd08,0.407053965,0.046296296
3abd0d2f-082a-43a3-8605-53167684ea4e,0.409737627,0.049382716
F30CBF26-7821-4AB8-9B91-FBC284EF1161,0.410149866,0.052469136
32C82906-68E2-42D2-8D0D-32C2EF85D64D,0.4121069,0.055555556
E32B8A4D-BD51-4423-956E-8B5C8195DB1C,0.414762015,0.058641975
73CCA2CC-7E55-4BE2-91A5-210C52052A07,0.41719412,0.061728395
B4EEA382-C969-46A8-AAF8-B9C512A9BA60,0.419525037,0.064814815
70705CBE-88F6-4470-82E5-B00D1C5AD2A8,0.421472517,0.067901235
0a0ade55-eaf2-4df7-b3b8-e587eac64b4c,0.423592646,0.070987654
bbe1742c-14ad-401d-b802-be359df482e7,0.425603033,0.074074074
4351F2FC-1C2E-4DE9-839B-4DB648F85651,0.42689671,0.077160494
21E70F81-381C-4F71-AEDA-08967280143E,0.428177424,0.080246914
88A5C79B-87DA-455A-9827-A5615F1ADE73,0.428531476,0.083333333
6DFFF74D-6F0C-45A4-BDCC-CD52B7625105,0.435619325,0.086419753
009769ef-8bad-4a0e-845c-0f6fc3e91a99,0.437489386,0.089506173
E01A2876-946D-40F1-880C-049F80081BB6,0.437979361,0.092592593
35830E88-A1EE-45C4-8B3A-E84A6F0DF546,0.438138694,0.095679012
8bc4bfbf-187a-4b5a-9d42-d6f6009e6764,0.439565856,0.098765432
FB0C76DC-7CA2-4223-A871-6A58B422440F,0.441256858,0.101851852
0655B85C-97DF-4804-AD5F-6B4A1C073D1E,0.441656028,0.104938272
39A6350F-89DB-4587-A2F9-F17B3B80EAE9,0.444854888,0.108024691
F591185C-3F59-496B-822E-0FCBE9EBE02D,0.44907581,0.111111111
E43AD7A5-CAB9-4CD9-915F-7ABD60231FE2,0.456078364,0.114197531
282ED5A7-7C68-426B-80E0-B3AB45367793,0.457203816,0.117283951
